Unnamed: 0,acousticness,analysis_url,artist_name,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,popularity,speechiness,streams,tempo,time_signature,track_href,track_name,type,uri,valence,year,Daily Streams
3000,0.0383,https://api.spotify.com/v1/audio-analysis/567e29TDzLwZwfDuEpGTwo,The Kid LAROI,0.591,141806.0,0.764,567e29TDzLwZwfDuEpGTwo,0.0,1.0,0.103,-5.484,1.0,82.0,0.0483,3345710525,169.928,4.0,https://api.spotify.com/v1/tracks/567e29TDzLwZwfDuEpGTwo,STAY,audio_features,spotify:track:567e29TDzLwZwfDuEpGTwo,0.478,2021,"1,432,715"
3001,0.768,https://api.spotify.com/v1/audio-analysis/5wANPM4fQCJwkGd4rN57mH,Olivia Rodrigo,0.561,242013.0,0.431,5wANPM4fQCJwkGd4rN57mH,1.42e-05,10.0,0.106,-8.81,1.0,82.0,0.0578,2324727875,143.875,4.0,https://api.spotify.com/v1/tracks/5wANPM4fQCJwkGd4rN57mH,drivers license,audio_features,spotify:track:5wANPM4fQCJwkGd4rN57mH,0.137,2021,"903,011"
3002,0.335,https://api.spotify.com/v1/audio-analysis/4ZtFanR9U6ndgddUvNcjcG,Olivia Rodrigo,0.563,178147.0,0.664,4ZtFanR9U6ndgddUvNcjcG,0.0,9.0,0.0849,-5.044,1.0,82.0,0.154,2297497513,166.928,4.0,https://api.spotify.com/v1/tracks/4ZtFanR9U6ndgddUvNcjcG,good 4 u,audio_features,spotify:track:4ZtFanR9U6ndgddUvNcjcG,0.688,2021,"807,851"
3003,0.841,https://api.spotify.com/v1/audio-analysis/4cktbXiXOapiLBMprHFErI,Maroon 5,0.775,189486.0,0.327,4cktbXiXOapiLBMprHFErI,0.0,11.0,0.0821,-7.241,1.0,82.0,0.0557,2125455824,91.05,4.0,https://api.spotify.com/v1/tracks/4cktbXiXOapiLBMprHFErI,Memories,audio_features,spotify:track:4cktbXiXOapiLBMprHFErI,0.595,2021,"943,920"
3004,0.0203,https://api.spotify.com/v1/audio-analysis/27NovPIUIRrOZoCHxABJwK,Lil Nas X,0.736,212000.0,0.704,27NovPIUIRrOZoCHxABJwK,0.0,3.0,0.0501,-7.409,0.0,73.0,0.0615,2087745516,149.995,4.0,https://api.spotify.com/v1/tracks/27NovPIUIRrOZoCHxABJwK,INDUSTRY BABY,audio_features,spotify:track:27NovPIUIRrOZoCHxABJwK,0.894,2021,"429,936"
3005,0.293,https://api.spotify.com/v1/audio-analysis/1SC5rEoYDGUK4NfG82494W,Lil Nas X,0.593,137704.0,0.503,1SC5rEoYDGUK4NfG82494W,0.0,8.0,0.405,-6.725,0.0,76.0,0.22,1985530236,178.781,4.0,https://api.spotify.com/v1/tracks/1SC5rEoYDGUK4NfG82494W,MONTERO (Call Me By Your Name),audio_features,spotify:track:1SC5rEoYDGUK4NfG82494W,0.71,2021,"529,479"
3006,0.174,https://api.spotify.com/v1/audio-analysis/4jPy3l0RUwlUI9T5XHBW2m,24kGoldn,0.701,140533.0,0.716,4jPy3l0RUwlUI9T5XHBW2m,0.0,7.0,0.324,-3.671,0.0,80.0,0.0361,1969652953,91.007,4.0,https://api.spotify.com/v1/tracks/4jPy3l0RUwlUI9T5XHBW2m,Mood,audio_features,spotify:track:4jPy3l0RUwlUI9T5XHBW2m,0.732,2021,"667,558"
3007,0.259,https://api.spotify.com/v1/audio-analysis/3DarAbFujv6eYNliUTyqtz,Doja Cat,0.764,208667.0,0.705,3DarAbFujv6eYNliUTyqtz,8.92e-05,8.0,0.12,-3.463,1.0,80.0,0.0284,1959076316,110.97,4.0,https://api.spotify.com/v1/tracks/3DarAbFujv6eYNliUTyqtz,Kiss Me More,audio_features,spotify:track:3DarAbFujv6eYNliUTyqtz,0.781,2021,"761,947"
3008,0.578,https://api.spotify.com/v1/audio-analysis/46IZ0fSY2mpAiktS3KOqds,Adele,0.604,224695.0,0.366,46IZ0fSY2mpAiktS3KOqds,0.0,5.0,0.133,-7.519,1.0,82.0,0.0282,1929274718,141.981,4.0,https://api.spotify.com/v1/tracks/46IZ0fSY2mpAiktS3KOqds,Easy On Me,audio_features,spotify:track:46IZ0fSY2mpAiktS3KOqds,0.13,2021,"1,250,791"
3009,0.0451,https://api.spotify.com/v1/audio-analysis/3rmo8F54jFF8OgYsqTxm5d,Ed Sheeran,0.807,230747.0,0.893,3rmo8F54jFF8OgYsqTxm5d,2.79e-05,11.0,0.366,-3.745,0.0,79.0,0.0347,1839143174,126.011,4.0,https://api.spotify.com/v1/tracks/3rmo8F54jFF8OgYsqTxm5d,Bad Habits,audio_features,spotify:track:3rmo8F54jFF8OgYsqTxm5d,0.537,2021,"456,730"
