Artist and Title,Daily Streams,Streams,acousticness,analysis_url,artist_name,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,popularity,song_name,speechiness,tempo,time_signature,track_href,type,uri,valence
"['Miley Cyrus', 'Flowers']","1,432,673","2,296,780,698",0.0584,https://api.spotify.com/v1/audio-analysis/7DSAEUvxU8FajXtRloy8M0,miley cyrus,0.706,200600.0,0.691,7DSAEUvxU8FajXtRloy8M0,6.99e-05,0.0,0.0232,-4.775,1.0,87.0,flowers,0.0633,118.048,4.0,https://api.spotify.com/v1/tracks/7DSAEUvxU8FajXtRloy8M0,audio_features,spotify:track:7DSAEUvxU8FajXtRloy8M0,0.632
"['Jung Kook', 'Seven']","2,033,717","2,052,755,214",0.312,https://api.spotify.com/v1/audio-analysis/2HRgqmZQC0MC7GeNuDIXHN,jung kook,0.79,183551.0,0.831,2HRgqmZQC0MC7GeNuDIXHN,0.0,11.0,0.0797,-4.185,1.0,84.0,seven,0.044,124.987,4.0,https://api.spotify.com/v1/tracks/2HRgqmZQC0MC7GeNuDIXHN,audio_features,spotify:track:2HRgqmZQC0MC7GeNuDIXHN,0.872
"['OneRepublic', ""I Ain't Worried""]","890,910","1,809,590,984",0.103,https://api.spotify.com/v1/audio-analysis/0oF9jpn0n8afMpbHKgRd6J,onerepublic,0.713,148486.0,0.792,0oF9jpn0n8afMpbHKgRd6J,0.00052,0.0,0.0698,-5.957,1.0,78.0,i ain't worried,0.0467,139.976,4.0,https://api.spotify.com/v1/tracks/0oF9jpn0n8afMpbHKgRd6J,audio_features,spotify:track:0oF9jpn0n8afMpbHKgRd6J,0.81
"['Tate McRae', 'greedy']","1,510,400","1,526,910,997",0.261,https://api.spotify.com/v1/audio-analysis/3rUGC1vUpkDG9CZFHMur1t,tate mcrae,0.749,131872.0,0.729,3rUGC1vUpkDG9CZFHMur1t,0.0,6.0,0.113,-3.19,0.0,86.0,greedy,0.0321,111.004,1.0,https://api.spotify.com/v1/tracks/3rUGC1vUpkDG9CZFHMur1t,audio_features,spotify:track:3rUGC1vUpkDG9CZFHMur1t,0.816
"['The Weeknd', 'One Of The Girls']","2,354,813","1,389,036,040",0.0393,https://api.spotify.com/v1/audio-analysis/7CyPwkp0oE8Ro9Dd5CUDjW,the weeknd,0.264,244685.0,0.64,7CyPwkp0oE8Ro9Dd5CUDjW,2.31e-06,8.0,0.151,-6.221,1.0,89.0,one of the girls,0.0442,84.828,4.0,https://api.spotify.com/v1/tracks/7CyPwkp0oE8Ro9Dd5CUDjW,audio_features,spotify:track:7CyPwkp0oE8Ro9Dd5CUDjW,0.19
"['David Kushner', 'Daylight']","1,015,141","1,320,423,332",0.83,https://api.spotify.com/v1/audio-analysis/1odExI7RdWc4BT515LTAwj,david kushner,0.508,212954.0,0.43,1odExI7RdWc4BT515LTAwj,0.000441,2.0,0.093,-9.475,0.0,81.0,daylight,0.0335,130.09,4.0,https://api.spotify.com/v1/tracks/1odExI7RdWc4BT515LTAwj,audio_features,spotify:track:1odExI7RdWc4BT515LTAwj,0.324
"['Eslabon Armado', 'Ella Baila Sola']","535,078","1,317,634,048",0.483,https://api.spotify.com/v1/audio-analysis/3dnP0JxCgygwQH9Gm7q7nb,eslabon armado,0.668,165671.0,0.758,3dnP0JxCgygwQH9Gm7q7nb,1.89e-05,5.0,0.0837,-5.176,0.0,76.0,ella baila sola,0.0332,147.989,3.0,https://api.spotify.com/v1/tracks/3dnP0JxCgygwQH9Gm7q7nb,audio_features,spotify:track:3dnP0JxCgygwQH9Gm7q7nb,0.834
"['Mitski', 'My Love Mine All Mine']","1,936,385","1,316,115,742",0.868,https://api.spotify.com/v1/audio-analysis/3vkCueOmm7xQDoJ17W1Pm3,mitski,0.504,137773.0,0.308,3vkCueOmm7xQDoJ17W1Pm3,0.135,9.0,0.158,-14.958,1.0,88.0,my love mine all mine,0.0321,113.95,4.0,https://api.spotify.com/v1/tracks/3vkCueOmm7xQDoJ17W1Pm3,audio_features,spotify:track:3vkCueOmm7xQDoJ17W1Pm3,0.121
"['Jimin', 'Like Crazy']","341,804","1,307,472,842",0.0025,https://api.spotify.com/v1/audio-analysis/3Ua0m0YmEjrMi9XErKcNiR,jimin,0.629,212241.0,0.733,3Ua0m0YmEjrMi9XErKcNiR,0.0,7.0,0.357,-5.445,1.0,75.0,like crazy,0.0419,120.001,4.0,https://api.spotify.com/v1/tracks/3Ua0m0YmEjrMi9XErKcNiR,audio_features,spotify:track:3Ua0m0YmEjrMi9XErKcNiR,0.362
"['Teddy Swims', 'Lose Control']","2,554,046","1,293,926,111",0.199,https://api.spotify.com/v1/audio-analysis/17phhZDn6oGtzMe56NuWvj,teddy swims,0.561,210689.0,0.604,17phhZDn6oGtzMe56NuWvj,1.9e-05,9.0,0.104,-4.409,1.0,89.0,lose control,0.0337,159.92,3.0,https://api.spotify.com/v1/tracks/17phhZDn6oGtzMe56NuWvj,audio_features,spotify:track:17phhZDn6oGtzMe56NuWvj,0.242
"['Doja Cat', 'Paint The Town Red']","842,306","1,233,245,332",0.269,https://api.spotify.com/v1/audio-analysis/2IGMVunIBsBLtEQyoI1Mu7,doja cat,0.868,231750.0,0.538,2IGMVunIBsBLtEQyoI1Mu7,3.34e-06,5.0,0.0901,-8.603,1.0,78.0,paint the town red,0.174,99.968,4.0,https://api.spotify.com/v1/tracks/2IGMVunIBsBLtEQyoI1Mu7,audio_features,spotify:track:2IGMVunIBsBLtEQyoI1Mu7,0.732
"['d4vd', 'Here With Me']","1,059,178","1,207,323,641",0.531,https://api.spotify.com/v1/audio-analysis/5LrN7yUQAzvthd4QujgPFr,d4vd,0.575,242485.0,0.45,5LrN7yUQAzvthd4QujgPFr,6.59e-05,4.0,0.124,-9.306,1.0,83.0,here with me,0.0259,132.039,4.0,https://api.spotify.com/v1/tracks/5LrN7yUQAzvthd4QujgPFr,audio_features,spotify:track:5LrN7yUQAzvthd4QujgPFr,0.263
